key	en	official_zh	revised_zh
data.boss.staging.and.endings.boss.stages.sub.the.works.keep.the.count.no	The works keep the count no longer.	机器不再计数。	机房不再计数。
data.boss.staging.and.endings.bosses.last.warden.upon.the.roll.who.case-description	Last warden upon the Roll, who has kept the count alone for an age, and cannot adjourn from the vault where the jar stands.	名册上末代守封者，孤身计数已有一个年代，始终无法离开放着罐子的密室。	名册上末代守封者，孤身计数已历经漫长岁月，始终无法离开放着罐子的密室。
data.boss.staging.and.endings.bosses.master.of.the.scriptorium.whose.pens	master of the scriptorium, whose pens have written out the descent of every adventurer, yours among them	抄写室的主人，手下的笔记下每位冒险者的下探经过，也包括你	抄写室的主人，手下的笔记下每位冒险者的下行经过，也包括你
data.boss.staging.and.endings.bosses.master.of.the.scriptorium.whose.pens.case-description	Master of the scriptorium, whose pens have written out the descent of every adventurer, yours among them.	抄写室的主人，手下的笔记下每位冒险者的下探经过，也包括你。	抄写室的主人，手下的笔记下每位冒险者的下行经过，也包括你。
data.boss.staging.and.endings.bosses.the.mad.mage.of.the.halls	the mad mage of the halls, who split himself into copies to be everywhere at once, and has watched your descent from the first stair	厅室的疯狂法师，将自己分成摹本以便同时身在各处，从第一道阶梯起便监视你的下探	厅室的疯狂法师，将自己分成摹本以便同时身在各处，从第一道阶梯起便监视你的下行
data.boss.staging.and.endings.bosses.the.mad.mage.of.the.halls.case-description	The mad mage of the halls, who split himself into copies to be everywhere at once, and has watched your descent from the first stair.	厅室的疯狂法师，将自己分成摹本以便同时身在各处，从第一道阶梯起便监视你的下探。	厅室的疯狂法师，将自己分成摹本以便同时身在各处，从第一道阶梯起便监视你的下行。
data.boss.staging.and.endings.bosses.the.restraint.itself.given.a.will.case-description	The restraint itself given a will, that drew the great chain open link by link from the inside across an age.	拘束本身生出意志，耗费一个年代，从环内将巨链一节节拉开。	拘束本身生出意志，历经漫长岁月，从环内将巨链一节节拉开。
data.boss.staging.and.endings.court.seasons.ambient.a.herald.in.grey.rag.stands	A herald in grey rag stands upon the newel and cries your rank and your road down to the court below, in a tongue of clicks and drum-taps.	披灰破布的使者站在梯柱上，用咔嗒声与鼓点，向下方宫廷报出你的等级和来路。	披灰破布的传令官站在梯柱上，用咔嗒声与鼓点，向下方宫廷报出你的等级和来路。
data.boss.staging.and.endings.court.seasons.ambient.a.lamplighter.s.pole.stands.leaned.in	A lamplighter's pole stands leaned in a niche, its wick yet smoking, though the hand that set it there has gone on up ahead of you.	点灯长杆靠在壁龛里，引火芯还冒着烟，放下它的手已经走到你前面更高处。	点灯长杆斜靠在壁龛里，引火芯还冒着烟，放下它的那只手却已先你一步往上去了。
data.boss.staging.and.endings.court.seasons.ambient.a.procession.of.the.risen.dead	A procession of the risen dead passes through the court by an appointed route, bearing grave-goods before them in the old order.	一队复起死者按指定路线穿过宫廷，依旧有次序把陪葬品抬在前头。	一队复起死者按指定路线穿过宫廷，依古时次序将陪葬品抬在前头。
data.boss.staging.and.endings.court.seasons.ambient.goblin.tally.marks.are.scratched.fresh.beside	Goblin tally-marks are scratched fresh beside the court's door, and the newest of them are still white in the stone.	宫廷门边新添地精的计数划痕，最新几道还露着白石。	宫廷门旁新添了地精的刻痕，最新几道在石上还是白的。
data.boss.staging.and.endings.court.seasons.ambient.the.court.s.antechambers.stand.flooded.to	The court's antechambers stand flooded to the knee, and the water carries the smell of the drowned temple down from above.	宫廷前厅积水齐膝，水中带着从上方沉水神庙流下的气味。	宫廷前厅积水齐膝，水中带着从上方沉水地庙流下的气味。
data.boss.staging.and.endings.court.seasons.ambient.the.drums.have.come.down.from	The drums have come down from the warren, and their ragged rhythm carries through all the floors between.	地精的鼓从巢穴搬下来了，凌乱节拍穿过中间的所有楼层。	地精的鼓从巢穴搬下来了，凌乱节拍穿过其间各层。
data.boss.staging.and.endings.court.seasons.ambient.the.procession.halts.while.you.pass	The procession halts while you pass, by some instruction of precedence, and the empty helms turn to mark you.	依某项尊卑指令，队列停下来让你先过，空头盔转向你，记下你的样貌。	依某条序位规矩，队列停步让你先过，一顶顶空头盔转过来盯住你。
data.boss.staging.and.endings.court.seasons.ambient.the.water.has.risen.a.hand.s	The water has risen a hand's breadth since your descent began, and the lowest step of the dais now stands awash before the empty throne.	自你开始下探，水又涨了一掌，空王座前高台最下一级已被淹过。	自你开始下行，水又涨了一掌，空王座前高台最下一级已被淹过。
data.boss.staging.and.endings.court.seasons.name.a.wandering.revenant.procession	a wandering revenant procession	游行的还魂者队列	游荡的还魂尸队列
data.boss.staging.and.endings.court.seasons.travel.below.the.vault.giving.way.upon	Below the vault: giving way upon the stair to a procession of the risen dead	宝窟下方：在阶梯上让路，供起身的死者游行而过	宝窟下方：在阶梯上为复起死者的队列让路
data.boss.staging.and.endings.emptied.seasons.ambient.the.coin.of.the.first.hoard	The coin of the first hoard is drawn up the windlass in barrels, cold now and only coin, struck by kings the survey enters as unknown, and the Bottom is left bare stone.	最初宝藏的钱币装桶由绞盘吊上，如今冰冷，只是钱币；铸币诸王由勘测所记为不详，世界之底只剩裸石。	最初宝藏的钱币装桶由绞盘吊上，如今冰冷，只是钱币；铸币诸王由勘测所记为不详，巨口之底只剩裸石。
data.boss.staging.and.endings.emptied.seasons.ambient.the.count.kept.in.the.roll	The count kept in the Roll is carried up entire, seven wardens and every debt, and the library files it under a heading the charter opened at the Bottom and closed there.	名册所记的计数完整运上，七位守封者与每笔债俱在；图书馆把它归入一栏，章程在世界之底为此开立，也在那里结清。	名册所记的计数完整运上，七位守封者与每笔债俱在；图书馆把它归入一栏，章程在巨口之底为此开立，也在那里结清。
data.boss.staging.and.endings.emptied.seasons.ambient.the.dead.floors.keep.no.threat	The dead floors keep no threat a lamp and a charter cannot pass, and the survey goes where no warden could send an adventurer living, and enters it all.	沉寂楼层中，没有灯与宪章过不去的威胁；勘测队来到从前守封者无法派活冒险者前往的地方，将一切记下。	沉寂楼层中，没有灯与章程过不去的威胁；勘测队来到从前守封者无法派活冒险者前往的地方，将一切记下。
data.boss.staging.and.endings.emptied.seasons.ambient.the.glow.is.gone.from.the	The glow is gone from the Bottom, and the coin lies cold, and the surveyors chart it by lamplight, and it is only a hoard now, and they weigh it as one.	世界之底已无光，钱币冰冷；勘测员借灯光绘图，它如今只是宝藏，便按宝藏称量。	巨口之底已无光，钱币冰冷；勘测员借灯光绘图，它如今只是宝藏，便按宝藏称量。
data.boss.staging.and.endings.emptied.seasons.ambient.the.librarians.survey.the.whole.descent	The librarians survey the whole descent from the pages alone now, floor by floor, and chart the Maw as a thing read rather than a thing entered, and find the account complete to the Bottom.	如今馆员仅凭书页就能逐层勘察整条下探路线，把巨口当作读到而非走过的地方绘图，发现实录一直完整到世界之底。	如今馆员仅凭书页就能逐层勘察整条下行路线，把巨口当作读到而非走过的地方绘图，发现实录一直完整到巨口之底。
data.boss.staging.and.endings.emptied.seasons.ambient.the.numbered.tags.of.every.party	The numbered tags of every party that went down are brought up this season, entered, and ruled recovered, one by one, and the Guild's long ledger of the missing is closed line by line.	本季每支下探队伍的编号身份牌都被带上来，逐一登记、注明寻回，公会漫长的失踪账目一行行结清。	本季每支下行队伍的编号身份牌都被带上来，逐一登记、注明寻回，公会漫长的失踪账目一行行结清。
data.boss.staging.and.endings.emptied.seasons.ambient.the.resurvey.closes.another.floor.charted	The resurvey closes another floor charted and quiet, and the survey's lamps go up the stair, the season entered upon the record behind them.	重新勘测结束，又一层绘明且安静；勘测灯沿阶梯上去，身后本季已录入实录。	重新勘测又结一层，绘明且安静；勘测队的灯沿阶梯上行，本季已记入身后的实录。
data.boss.staging.and.endings.emptied.seasons.ambient.the.seals.are.charted.where.they	The seals are charted where they were struck, all seven, and the survey enters them a matter closed, and the wardens a line of keepers ended.	七道封印在被划破处逐一绘图，勘测所将它们记为已结事项，也将历代守封者记为已终结的世系。	七道封印在当初被划去之处逐一绘图，勘测所将它们记为已结事项，也将历代守封者记为已终结的世系。
data.boss.staging.and.endings.emptied.seasons.ambient.the.works.are.drawn.for.their	The works are drawn for their metal, the beam and the pumps and the counterweight, and the drum that kept the count is broken up and weighed as scrap of a good grade.	机梁、水泵与配重都拆取金属，曾经计数的鼓被拆开，称作优质废料。	机梁、水泵与配重都拆下取金属，曾经计数的鼓被拆散，按上等废料过秤。
data.boss.staging.and.endings.emptied.seasons.line.the.last.echo.keeps.to.the	The Last Echo keeps to the salvage-gangs this season, remnant and echo among the contractors, and it comes upon you where the stripping is heaviest, because a thing of the deep goes where the deep is disturbed.	本季最后余响跟着回收队，在承包人之间留下残影与回声；它在拆取最繁重的地方遇见你，因为深处之物总循深处受扰的动静而去。	本季最后余响跟着回收队，是承包人之间的残影与余响；它在拆取最繁重的地方遇见你，因为深处之物总循深处受扰的动静而去。
data.boss.staging.and.endings.emptied.seasons.line.the.last.echo.keeps.to.the.3	The Last Echo keeps to the library this season, thin as a draught between the shelves where the Roll Below is carried up and read, and it comes to you at the last volume, where the librarians have found their own survey entered in a hand that had no way to know their names.	本季最后余响留在图书馆，地下名册运来供人研读，它便像书架间的一丝气流。本季最后一册旁，它来到你这里；馆员发现自己的勘测已被记入，执笔者本不可能知道他们的名字。	本季最后余响留在图书馆，地下名册运来供人研读，它便像书架间的一丝气流。在最后一册旁，它来到你这里；馆员发现自己的勘测已被记入，执笔者本不可能知道他们的名字。
data.boss.staging.and.endings.emptied.seasons.travel.down.through.the.deep.on.the	Down through the deep on the last recoveries, where the numbered tags of every lost party are brought up	下探深处进行最后搜回，将每支失踪队伍的编号身份牌带上来	下行深处进行最后搜回，将每支失踪队伍的编号身份牌带上来
data.boss.staging.and.endings.emptied.seasons.travel.down.through.the.deep.the.contractors	Down through the deep the contractors strip by charter, where what walks among them is remnant and echo	下探承包人按章程拆取的深处，其间行走的只是残影与余响	下行承包人按章程拆取的深处，其间行走的只是残影与余响
data.boss.staging.and.endings.emptied.seasons.travel.down.through.the.deep.whose.roll	Down through the deep whose Roll is carried up volume by volume, where the librarians find their own survey in its pages	下探深处，名册正逐册上运，馆员在书页里发现自己的勘测记录	下行深处，名册正逐册上运，馆员在书页里发现自己的勘测记录
data.boss.staging.and.endings.lich.epithets.the.lich.eldest.creditor	the Lich, Eldest Creditor	最老债主巫妖	最年长的债主巫妖
data.boss.staging.and.endings.lich.epithets.the.lich.keeper.of.the.roll	the Lich, Keeper of the Roll Below	地下名册看守巫妖	看守地下名册库的巫妖
data.boss.staging.and.endings.vale.boss.fell.the.toll.hound.goes.down.upon.the	The Toll-Hound goes down upon the crown of its own bridge, and the road north lies open for the first time in the Guild's records.	索费猎犬倒在自己桥的顶端，北行道路在公会记录中第一次敞开。	索费猎犬倒在自家桥顶，北去的路自公会有记录以来第一次敞开。
data.boss.staging.and.endings.vale.boss.stages.approach.down.off.the.crag.in.the	Down off the crag in the last of the light, to meet what the night sends up the valley	趁最后天光下到峭崖外，迎战黑夜从谷中送来的东西	趁最后一抹天光走下峭崖，迎战黑夜沿谷送上来的东西
data.boss.staging.and.endings.vale.boss.stages.between.corvane.rises.from.the.head.of	Corvane rises from the head of his own table and sets the glass down unfilled, and every fire in the long hall goes up together with no hand near them. He has kept this house three hundred years against the day somebody walked up the crag to him, and he greets you as a host greets an expected guest.	科尔文从自家长桌主位起身，放下未斟酒的杯子，长厅里所有炉火在无人触碰时同时燃起。他维持这座宅子三百年，等着有人爬上峭崖来见他，如今像主人迎接预期中的客人一样向你致意。	科尔文从自家长桌主位起身，放下未斟酒的杯子，长厅里所有炉火无人近前，却一齐燃起。他守着这座宅子三百年，只等有一天有人登上峭崖来见他；此刻他向你致意，如主人迎候意料之中的客人。
data.boss.staging.and.endings.vale.boss.stages.between.the.abbot.closes.the.register.upon	The Abbot closes the register upon the lectern, marks his place with one finger, and steps down out of the grave he was buried standing in. He asked one thing of the Count in life and was refused it, and he means to be heard before he lies down.	院长在读经台上合拢名册，以一根手指夹住页码，走下当年被站着埋入的墓。他生前向伯爵求过一件事，遭到拒绝；躺下之前，他要让人听完。	院长在读经台上合拢名册，以一指夹住读到的那页，走下当年被站着埋入的墓。他生前向伯爵求过一件事，遭到拒绝；躺下之前，他要先让人听他说完。
data.boss.staging.and.endings.vale.boss.stages.desc.the.bridge.held.chalking.the.crossing	The bridge held; chalking the crossing for the survey	守住桥梁，用粉笔标下渡口供勘测所查用	桥已守住，以粉笔标记渡口，留待勘测
data.boss.staging.and.endings.vale.boss.stages.desc.the.street.unbarred.the.tally.post.cut	The street unbarred; the tally-post cut down	街上窗闩卸下，计数门柱锯倒	街巷卸闩，计数柱已锯倒
data.boss.staging.and.endings.vale.boss.stages.line.the.bridge.stands.quiet.and.the	The bridge stands quiet and the toll goes unpaid, and you chalk the crossing and the date upon the parapet for whatever surveyor comes after you. Northward the road runs on into the standing mist, and the mist has moved for none of it.	桥上静了，通行代价未付；你在栏杆上用粉笔记下渡口与日期，留给后来勘测员。路继续向北伸入不动的雾，这一切都没让雾移动分毫。	桥上静了，过桥费终究无人缴纳；你在护栏上用粉笔记下渡口与日期，留给后来的勘测员。北去的路延入不动的雾中，而这一切，雾都未曾为之挪动分毫。
data.boss.staging.and.endings.vale.boss.stages.line.the.pack.breaks.off.in.the	The pack breaks off in the middle of the ride and goes to ground among the black thorn, and the drowned wood stands quiet for the first time in your hearing. You cut the horn down from the thorn where it hung and carry it away, for a horn of the crag is worth a great deal to whoever holds it.	犬群在骑道中央散开，钻进黑荆棘；沉水林第一次在你听来如此安静。你割断绳索，取走悬在荆枝上的猎号；峭崖的号角落在谁手中，都价值不菲。	犬群在骑道中央散开，钻进黑荆棘；沉水林第一次在你听来如此安静。你将猎号从悬挂它的荆枝上割下带走；峭崖的号角，无论落在谁手里都价值不菲。
data.boss.staging.and.endings.vale.boss.stages.line.the.pack.scatters.down.the.crag	The pack scatters down the crag into the mist by ones and twos, the runs stand open and quiet, and the trough goes unfilled for the first time in three hundred years. You take the feeding-book from its nail beside the gate, and the last entry in it is dated for tomorrow, in a finer hand than the Master's, written since his burial.	犬群三两成散，从峭崖下到雾里，围栏空敞安静，食槽三百年来第一次没人添满。你从门边钉子取下喂食簿，末条日期是明天，字比总管的更精细，写于他埋葬之后。	犬群三三两两散下峭崖，没入雾中，围栏空敞安静，食槽三百年来第一次无人添满。你从门边钉子上取下喂食簿，末条记录的日期是明天，字迹比总管的更工整，是他下葬之后才写上的。
data.boss.staging.and.endings.vale.boss.stages.line.you.cut.the.tally.post.out.of	You cut the tally-post out of the doorpost of the Bell and Shutter and carry it into the street, and one shutter after another comes off its bar the whole length of the row. Hollowmere stands in its own doorways in the open air, and nobody speaks, and nobody goes back inside.	你从铃与窗酒馆门框锯下计数柱，搬到街上，整条街的窗闩一扇接一扇卸下。霍洛米尔的人站在自家门口，置身露天，沉默地留在那里。	你从铃与窗酒馆门框锯下计数柱，搬到街上，整条街的窗闩一扇接一扇卸下。霍洛米尔的人站在自家门口，置身露天，无人开口，也无人回屋。
data.boss.staging.and.endings.vale.boss.stages.line.you.lay.the.abbot.back.into	You lay the Abbot back into the standing grave and carry the register out from under the open sky and into your pack. The abbey keeps its silence, the orchard bears as it always bears, and the numbered rows stand quiet in their order.	你把院长放回立墓，将名册从露天下带走，装入背包。修道院寂静，果园照常结果，编号墓行各依次序安卧。	你把院长放回立墓，将名册从露天之下取走，收进背包。修道院寂静，果园照常结果，编号墓行各依次序安卧。
data.boss.staging.and.endings.vale.boss.stages.phases.mother.vell.the.tally.broken	Mother Vell, the tally broken	维尔嬷嬷，计数被打破	维尔嬷嬷，计数已断
data.boss.staging.and.endings.vale.boss.stages.phases.the.antlered.warden.at.the.crossing	The Antlered Warden, at the crossing	鹿角守猎者，位于交叉口	鹿角守猎者，位于交会处
data.boss.staging.and.endings.vale.boss.stages.phases.the.toll.hound.at.bay	The Toll-Hound, at bay	索费猎犬，被逼至角落	索费猎犬，负隅顽抗
data.boss.staging.and.endings.vale.boss.stages.sub.ysmere.gives.up.its.wedding	Ysmere gives up its wedding.	伊斯米尔结束了婚礼。	伊斯米尔的婚礼就此作罢。
data.boss.staging.and.endings.vale.bosses.the.count.s.kennelman.in.chief.who.keeps.the	the Count's kennelman-in-chief, who keeps the hunt fed and the gate shut, and has kept both past his own burial	伯爵的首席犬舍管事，喂饱猎群，守闭大门，死后埋葬也未停下两项职守	伯爵的首席犬舍管事，喂饱猎群，关紧大门，入葬之后两样职守也照旧不误
data.boss.staging.and.endings.vale.bosses.the.lord.of.the.crag.who	the lord of the crag, who buried his bride, his abbot and his whole house, and has not lain down these three hundred years	峭崖之主，埋葬了新娘、院长与宅中家眷与仆役，三百年来不曾躺下安睡	峭崖之主，埋葬了新娘、院长和满门家眷仆役，三百年来不曾躺下安睡
data.boss.staging.and.endings.vale.bosses.the.lord.of.the.crag.who.case-description	The lord of the crag, who buried his bride, his abbot and his whole house, and has not lain down these three hundred years.	峭崖之主，埋葬了新娘、院长与全体家仆，三百年来不曾躺下安睡。	峭崖之主，埋葬了新娘、院长和满门家眷仆役，三百年来不曾躺下安睡。
data.boss.staging.and.endings.vale.bosses.who.keeps.the.shutters.of.hollowmere	who keeps the shutters of Hollowmere barred from the street side, and the tally of who is let out	让霍洛米尔的窗从临街面上闩，并清点获准出门的人	从临街一侧闩死霍洛米尔的百叶窗，并记着放了谁出门
data.boss.staging.and.endings.vale.ends.chose.you.choose.the.fire.when.the	You choose the fire. When the Count is down you will lay him in his own hearth with the beams of his own roof upon him, and burn the hall about him until there is nothing in it to rise. The answer is entered upon the Roll.	你选择火。伯爵倒下后，你会把他放进伯爵的壁炉，以他的屋梁压住，在周围焚起大厅，直到再无东西能从中起身。这个回答录入荣誉名册。	你选择火。伯爵倒下后，你会把他放进他自己的壁炉，以他自己的屋梁压住，焚烧整座大厅，直到其中再无一物能起身。这一回答已登记在名册。
data.boss.staging.and.endings.vale.ends.chose.you.choose.the.morning.when.the	You choose the morning. When the Count is down you will carry the reliquary of Saint Ordel through the chapel door he wedged shut, set it upon the altar where it belongs, and take the shutters off the whole east front. The answer is entered upon the Roll.	你选择清晨。伯爵倒下后，你会带着圣奥德尔圣物匣穿过他顶死的礼拜堂门，放回本属它的祭坛，拆去整面东墙的窗板。这个回答录入荣誉名册。	你选择清晨。伯爵倒下后，你会带着圣奥德尔圣物匣穿过他顶死的礼拜堂门，放回本属它的祭坛，拆去整面东墙的窗板。这一回答已登记在名册。
data.boss.staging.and.endings.vale.ends.chose.you.choose.the.name.the.register	You choose the name. The register out of Saint Ordel carries the whole of it in the abbey's own hand, written before ever there was a count in this valley, and when he is down you will read it out over him and let the pact answer to it. The answer is entered upon the Roll.	你选择名字。圣奥德尔名册以修道院亲笔完整记着它，落笔时这片谷中还没有伯爵。等他倒下，你会在他身旁读出，让契约回应。这个回答录入荣誉名册。	你选择名字。圣奥德尔名册以修道院亲笔完整记着它，落笔时这片谷中还没有伯爵。等他倒下，你会在他身旁读出，让契约回应。这一回答已登记在名册。
data.boss.staging.and.endings.vale.ends.chose.you.choose.the.seat.when.the	You choose the seat. When the Count is down you will take the signet off his hand, sit at the head of his own table, and keep the Vale as he kept it, which is the only way anyone has ever found to keep it. The answer is entered upon the Roll.	你选择主位。伯爵倒下后，你会取下他手上的印戒，坐在伯爵长桌的主位，像他一样看管哀恸谷；这是至今唯一有人找到的看管办法。这个回答录入荣誉名册。	你选择主位。伯爵倒下后，你会取下他手上的印戒，坐在他自家长桌的主位，照他的方式看管哀恸谷——迄今为止，这是任何人找到的唯一办法。这一回答已登记在名册。
data.boss.staging.and.endings.vale.ends.desc.the.east.front.opened.the.abbey	The east front opened; the abbey bell rung up out of the rubble	东侧窗扉打开，修道院钟从瓦砾中挖出敲响	东侧窗板尽开，修道院钟自瓦砾中挖出敲响
data.boss.staging.and.endings.vale.ends.epilogue.the.mist.holds.where.it.has	The mist holds where it has always held, and the Vale is kept, and it is kept by you. The kennels are fed to the hour, the hall is swept, the fires are laid, and a place is set at the head of the table for one. Hollowmere bars its shutters at dusk and cuts its notch, and the bread is left wrapped upon three doorsteps in the evening and is gone by morning. The Guild enters your name upon the Roll of Honour beside the answer you gave, and rules a line beneath it, and posts the Vale as held under a new hand. Each night something comes down the crag road to learn whether the new hand is keeping the old terms.	雾停在一向停的地方，哀恸谷有人看管，如今是你。犬舍按时喂食，大厅扫净，炉火备好，长桌主位摆着单人餐具。霍洛米尔在黄昏关窗上闩，刻下一道记号；三户门阶前仍于傍晚放出裹好的面包，清晨便已不见。公会将你的名字与回答一同录入荣誉名册，划好下面的线，告示山谷已由新主人接管。每夜有东西从峭崖路下来，查问新主人是否遵守旧条款。	雾停在一向停的地方，哀恸谷有人看管，如今是你。犬舍按时喂食，大厅扫净，炉火备好，长桌主位摆着单人餐具。霍洛米尔在黄昏关窗上闩，刻下一道记号；三户门阶前仍于傍晚放出裹好的面包，清晨便已不见。公会将你的名字与回答一同录入荣誉名册，在其下划线为记，并公告哀恸谷由新主人执掌。每夜有东西从峭崖路下来，查问新主人是否遵守旧约。
data.boss.staging.and.endings.vale.ends.keeper.desc.what.comes.down.off.the.crag	what comes down off the crag each night to stand at the edge of the new light and measure it	每夜从峭崖下来，站在新日光边缘测量它的存在	每夜从峭崖下来，立于新光边缘、丈量光之所及的存在
data.boss.staging.and.endings.vale.ends.line.the.long.hall.burns.from.the	The long hall burns from the inside out and takes the state floor with it, and the light of it stands upon the mist over the whole valley. You walk the crag road down by that light, and the shutters of Hollowmere come off their bars as you pass, and nobody in the street looks up at the fire.	长厅从内向外烧起，连主层一起吞没，火光映在全谷上空的雾里。你借那光走下峭崖路，经过霍洛米尔时，窗闩纷纷卸下；街上的人都把目光留在前方。	长厅从内向外烧起，连主层一起吞没，火光映在全谷上空的雾里。你借那光走下峭崖路，经过霍洛米尔时，窗闩纷纷卸下；街上无人抬头看那场火。
data.boss.staging.and.endings.vale.ends.line.the.name.goes.through.the.house	The name goes through the house and through the crag and through the whole floor of the valley, and every made thing in the Vale hears it and lets go at once. You close the register upon the page and stand in a hall that is three hundred years old and is only a hall. Below you the fires go out room by room, and the covers do not come back off the furniture, and nothing in the house is kept any longer.	名字穿过宅子、峭崖与整片谷底，哀恸谷中每件受造之物都听见，同时松脱。你在那一页合书，站在一座三百年的大厅里，如今它只是大厅。下方炉火逐室熄灭，家具罩布再也无人揭开，宅中一切都停止了照料。	名字穿过宅子、峭崖与整片谷底，哀恸谷中每件受造之物都听见，同时松脱。你在那一页合书，站在一座三百年的大厅里，如今它只是大厅。下方炉火逐室熄灭，家具罩布再也无人揭开，宅中再没有什么被看管了。
data.boss.staging.and.endings.vale.ends.tail.the.vale.keeps.its.nights.and.4	The Vale Keeps Its Nights, and Nothing Keeps the Vale	谷中夜色依旧，再无人拘住哀恸谷	谷中夜色依旧，再无物看管哀恸谷
data.boss.staging.and.endings.vale.ends.won.is.put.down.beneath.an.open	is put down, and the east-front shutters are opened	被击败，宅邸东侧的百叶窗随之敞开	被击倒，宅邸东侧的窗板随之打开
data.boss.staging.and.endings.vale.seasons.ambient.the.kennel.runs.upon.the.curtain	The kennel runs upon the curtain wall stand open and empty, and the straw in them is fresh, and the trough is filled to the hour.	外墙旁犬舍围栏敞开而空着，稻草新铺，食槽依时添满。	外墙上的犬舍围栏敞开而空着，稻草新铺，食槽依时添满。
data.boss.staging.and.endings.vale.seasons.line.the.returning.night.halts.where.the	The Returning Night halts where the mist has gone thin and looks the whole length of the moor road it can suddenly see. It cares nothing for the seeing, and it comes on down the crag road at a walk.	归来之夜在雾变薄处停下，望过忽然能看全的荒原道。它随即继续沿峭崖路走下，步速不变。	归来之夜在雾薄处停下，望向忽然能一眼看尽的荒原道。它对能否看见毫不在意，仍沿峭崖路缓步而下。
data.boss.staging.and.endings.vhorren.aftermath.line.you.drive.the.debt.back.down	You drive the debt back down into its bed of warm coin and set the lock anew upon it, the jar for a keystone, and the glow dims under the hoard as the breathing steadies and slows. The deep will hold another age. You take up the count that the last warden could not lay down, and begin the long climb back toward the windlass and the light.	你将那笔债逼回温热的钱币床，以罐子为锁芯重新锁住。宝藏下的光渐暗，呼吸恢复平稳，慢了下来。深处还能封住漫长岁月。你接过上一位守封者始终无法放下的计数，开始向绞盘与天光踏上漫长归途。	你将那笔债逼回温热的钱币床，以罐子为锁芯重新锁住。宝藏下的光渐暗，呼吸恢复平稳，慢了下来。深处还将再封存一个时代。你接过上一位守封者始终无法放下的计数，开始向绞盘与天光踏上漫长归途。
data.boss.staging.and.endings.warden.seasons.ambient.a.tremor.comes.up.the.stair	A tremor comes up the stair from the Bottom, felt through the chair and the floor, and it is the debt turning, and the bonds hold, and the count is kept.	震动从世界之底沿阶梯传来，穿过椅子与地板；那是债在翻身，束缚未松，计数未断。	震动从巨口之底沿阶梯传来，穿过椅子与地板；那是债在翻身，束缚未松，计数未断。
data.boss.staging.and.endings.warden.seasons.ambient.the.windlass.turns.at.the.rim	The windlass turns at the rim far above, and the Guild sends down the next name upon the roll, and you examine it at the door and send it home.	遥远上方的坑缘绞盘转动，公会送下名册上的下一个人；你在门前考察过，再把人送回家。	遥远上方的井口，绞盘转动，公会送下名册上的下一个人；你在门前考察过，再把人送回家。
data.boss.staging.and.endings.warden.seasons.ambient.things.come.up.the.stair.from	Things come up the stair from below to test the new warden, and are turned back at the last door, one by one, as they were turned back before you.	东西从下方沿阶梯上来，试探新守封者，又在最后一道门前逐一被赶回，就像在你之前那样。	有东西从下方沿阶梯上来，试探新守封者，又在最后一道门前逐一被赶回，一如你到来之前。
data.boss.staging.and.endings.warden.seasons.ambient.you.walk.the.offices.of.the	You walk the offices of the keeping on your rounds, the Roll and the gallery and the debtors' deep, and you find the wardens' work sound and add your own to it.	你按时巡视看管署室，走过名册库、陵廊与债徒深狱，检查前代守封者的工作完好，再添上自己的一份。	你按时巡视看管署室，走过名册库、陵廊与债徒深狱，见前代守封者的活计完好，再添上自己的一份。
data.boss.staging.and.endings.warden.seasons.prefix.sealed	sealed	受封的	被封的
data.brands.harnesses.and.register.harnesses.name.the.drake.harness	the drake harness	幼龙护具	地龙护具
data.brands.harnesses.and.register.prologue.tasks.hearing.the.guildmaster.s.warnings.about.the	Hearing the Guildmaster's warnings about the lower levels	聆听会长对深层地区的告诫	聆听公会长关于下层的告诫
data.brands.harnesses.and.register.prologue.tasks.signing.the.adventurers.roll.in.triplicate	Signing the Adventurers' Roll in triplicate	在一式三份的冒险者名册上签名	一式三份签署冒险者名册
data.brands.harnesses.and.register.special.provenance.a.bell.out.of.the.abbey.s.fallen.tower.dug.out.of.the.rubble.of	Dug out of the rubble of Saint Ordel's tower, cracked at the lip and sound elsewhere. It rings when the cold moves it, which the survey notes is not a thing bells do.	从圣奥德尔钟塔废墟中挖出，钟口开裂，其余完好。寒气移动它时便会鸣响；勘测注记指出，这并非钟应有的习性。	从圣奥德尔钟塔废墟中挖出，钟口开裂，其余完好。寒气一动它便会响；勘测注记称，钟并不会这样。
data.brands.harnesses.and.register.special.provenance.a.copper.scale.of.dragon.shed.shed.by.the.assay.and.never	Shed, by the assay, and never struck off. It sits warm in the case in every season, and the case is entered in the inventory as warm.	鉴定认定鳞片自然蜕落，并非砍下。四季里它都使陈列柜发暖，清单也将柜子记作温热。	据鉴定为自然蜕落，并非砍下。它四季都在柜中温热，清单上连柜子也记作温热。
data.brands.harnesses.and.register.special.provenance.a.fist.of.raw.silver.ore.proof.of.standing.silver.in.a	Proof of standing silver in a sealed mine. The assay counter paid the posted rate, and the survey office reopened a file it had marked closed.	封闭矿井仍有银矿的证据。鉴定柜台照公示费率付款，勘测处重新打开一份原已结案的档案。	封闭矿井仍有银矿的证据。鉴定柜台照公示费率付款，勘测所重新打开一份原已结案的档案。
